ベース,カクテル名,材料１,材料２,材料３,材料４,材料５,材料６,材料７,材料８,材料９,材料１０
ラム,バカルディ・カクテル,バカルディラム　3/4,ライムジュース（またはレモンジュース）　1/4,グレナデンシロップ　1tsp,,,,,,,
ラム,エル・プレジデンテ,ホワイトラム　60ml,オレンジジュース　20ml,レモンジュース　1tsp,グレナデンシロップ　1tsp,,,,,,
ラム,エックス・ワイ・ズィ（X.Y.Z.）,ホワイトラム　1/3,ホワイトキュラソー　1/3,レモンジュース　1/3,,,,,,,
ラム,フローズン・バナナ・ダイキリ,ホワイトラム　30ml,ホワイトキュラソー　1tsp,レモンジュース　1tsp,砂糖　1tsp,バナナ　1/3本,クラッシュドアイス　3/4カップ,,,,
ラム,バイア（BAHIA）,ホワイトラム　30ml,ダークラム　15ml,パイナップルジュース　80ml,ココナッツミルク　30ml,カットパイナップル　1個,レッドチェリー　1個,,,,
ラム,マイタイ,ホワイトラム　45ml,ホワイトキュラソー　1tsp,パイナップルジュース　1tsp,オレンジジュース　1tsp,レモンジュース　1/2tsp,ダークラム　2tsp,カットパイナップル　1個,オレンジスライス　1枚,レモンスライス　1枚,レッドチェリー　1個
ラム,スコーピオン,ホワイトラム　45ml,ブランデー　30ml,オレンジジュース　20ml,レモンジュース　20ml,ライムジュース　15ml,レモンスライス　1枚,ライムスライス　1枚,レッドチェリー　1個,,
ラム,グリーン・アイズ(1),ゴールドラム　30ml,メロンリキュール　25ml,パイナップルジュース　45ml,ココナッツミルク　15ml,ライムジュース　15ml,クラッシュドアイス　1カップ,ライムスライス　1枚,,,
ラム,グリーン・アイズ(2),ホワイトラム　30ml ,メロンリキュール　20ml ,マリブ　15ml ,ライムジュース　15ml ,パイナップルジュース　15ml ,クラッシュドアイス　1カップ,ライムスライス　1枚,,,
ラム,キューバ・リバー,ホワイトラム　45ml,コーラ　適量,,,,,,,,
ラム,ロング・アイランド・アイスド・ティー,ホワイトラム　15ml,ウォッカ　15ml,ジン　15ml,テキーラ　15ml,ホワイトキュラソー　10ml,レモンジュース　30ml,ガムシロップ　1tsp,コーラ　40ml,レモンスライス　1枚,
ワイン,ホットワイン,赤ワイン（安いものでよい）　適量,香辛料（シナモン、クローブ、オレンジピールなど）　適量,グラニュー糖　適量,はちみつ　適量,レモンスライス　1枚,,,,,
ワイン,キール・ロワイヤル,スパークリングワイン　4/5,クレームドカシス　1/5,,,,,,,,
ワイン,ロゼワイン・ダイキリ,ロゼワイン　3/4,レモンジュース　1/4,砂糖　1tsp,,,,,,,
ワイン,キール,白ワイン（辛口）　4/5,クレームドカシス　1/5,,,,,,,,
ワイン,ワイン・クーラー,ロゼワイン　90ml,オレンジジュース　30ml,グレナデンシロップ　15ml,オレンジキュラソー　10ml,オレンジ　1/8個,,,,,
ワイン,ホットワイン,赤ワイン（安いものでよい）　適量,香辛料（シナモン、クローブ、オレンジピールなど）　適量,グラニュー糖　適量,はちみつ　適量,レモンスライス　1枚,,,,,
ワイン,シャンパン・カクテル,角砂糖　1個,アロマチックビターズ　1ダッシュ,シャンパン　適量,,,,,,,
ワイン,アメリカン・レモネード,赤ワイン　30ml,レモンジュース　40ml,ミネラルウォーター　適量,砂糖　3tsp,,,,,,
ワイン,バンブー,ドライシェリー　2/3,ドライベルモット　1/3,オレンジビターズ　1ダッシュ,,,,,,,
ワイン,スプリッツァー,白ワイン　3/5,ソーダ　2/5,,,,,,,,
ワイン,ビア・スプリッツァー,白ワイン　180ml,ビール　120ml,,,,,,,,
ワイン,アドニス,ドライシェリー　2/3,スイートベルモット　1/3,オレンジビターズ　1ダッシュ,,,,,,,
焼酎,潮風,焼酎　45ml,グレープフルーツジュース　適量,塩　適量,,,,,,,
焼酎,風鈴,焼酎　45ml,すだち果汁　15ml,すだち　1/2個,,,,,,,
日本酒,サムライ・ロック,日本酒　45ml,ライム　15ml,,,,,,,,
日本酒,春の雪,日本酒　1/2,ジン　1/3,グリーンティーリキュール　1/6,レモンジュース　1tsp,,,,,,
日本酒,サケティーニ・オンザロックス,日本酒　1/2,ジン　1/2,オリーブ　1個,,,,,,,
日本酒,ファンタスティック・レマン,日本酒　5/10,ホワイトキュラソー　3/10,キルシュ　1/10,レモンジュース　1/10,ブルーキュラソー　2tsp,,,,,
ノンアルコール,サラトガクーラー,ライムジュース　15ml,ジンジャーエール　適量,,,,,,,,
ノンアルコール,オレンジフラワークーラー,オレンジジュース　60ml,グレナデンシロップ　1tsp,トニックウォーター　適量,,,,,,,
ノンアルコール,ミルクセーキ,牛乳　120ml,卵　1個,シロップ　20ml,氷　適量,,,,,,
ノンアルコール,フロリダ,オレンジジュース　2/3,レモンジュース　1/3,砂糖　1tsp,アロマチックビターズ　2ダッシュ,,,,,,
ノンアルコール,シンデレラ,オレンジジュース　1/3,レモンジュース　1/3,,,,,,,,
ノンアルコール,フルーツ・パンチ,オレンジジュース　80ml,パイナップルジュース　60ml,レモンジュース　20ml,グレナデンシロップ　3ダッシュ,,,,,,
ノンアルコール,カフェモカ,インスタントコーヒー　3tsp,シュガーシロップ（またはガムシロップ）　1～3tsp,牛乳　150ml,,,,,,,
ノンアルコール,パイナップル・クーラー,パイナップルジュース　150ml,ライムジュース　10ml,アロマチックビターズ　5ダッシュ,ソーダ　適量,,,,,,
ノンアルコール,バージンメアリー,トマトジュース　適量,塩　適量,タバスコ　適量,ソース　適量,カットレモン　1個,,,,,
ノンアルコール,ヴァージン・コラーダ,ココナッツミルク　60ml,パイナップルジュース　120ml,,,,,,,,
ノンアルコール,シャーリーテンプル,グレナデンシロップ　10ml,ジンジャーエール　適量,カットライム　1個（またはライムジュース5ml）,,,,,,,
